2020-03-05 12:18:54 ERROR App:11 - Hi, Jora
2020-03-05 12:18:54 INFO  App:12 - Hi, Jora
2020-03-05 12:19:33 ERROR App:11 - Hi, Jora
2020-03-05 12:19:33 INFO  App:12 - Hi, Jora
2020-03-05 12:24:29 ERROR App:11 - Hi, Jora
2020-03-05 12:24:29 INFO  App:12 - Hi, Jora
2020-03-05 12:24:29 WARN  App:13 - Hi, Jora
2020-03-05 12:24:29 TRACE App:14 - Hi, Jora
2020-03-05 12:25:03 ERROR App:11 - Hi, Jora
2020-03-05 12:25:03 INFO  App:12 - Hi, Jora
2020-03-05 12:25:03 WARN  App:13 - Hi, Jora
2020-03-05 12:25:03 TRACE App:14 - Hi, Jora
